System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
15:38:44.150, 0.000, 0.476, 0.454, 0.098, 0.022, 1267, 1144, 0, 39, 40, 41, 30, 11.177, 10.714, 11.639, 6.000
15:38:45.103, 0.952, 0.134, 0.022, 0.074, 0.000, 972, 640, 0, 39, 40, 41, 30, 8.410, 6.842, 9.974, 4.000
15:38:46.093, 1.943, 0.030, 0.030, 0.076, 0.000, 989, 808, 0, 37, 39, 42, 30, 8.333, 6.566, 10.101, 1.000
15:38:47.083, 2.933, 0.182, 0.164, 0.094, 0.018, 1188, 1163, 0, 37, 39, 42, 30, 9.229, 8.060, 10.406, 4.000
15:38:48.119, 3.968, 0.180, 0.174, 0.114, 0.006, 1300, 889, 0, 37, 39, 42, 30, 13.976, 17.108, 10.843, 3.000
15:38:49.107, 4.957, 0.086, 0.086, 0.088, 0.000, 1077, 752, 0, 37, 39, 42, 30, 12.817, 13.486, 12.152, 10.000
15:38:50.112, 5.962, 2.280, 1.784, 0.286, 0.080, 1525, 1706, 0, 36, 39, 41, 30, 20.707, 21.357, 20.051, 35.000
15:38:51.153, 7.002, 1.072, 0.972, 0.172, 0.042, 1476, 1219, 0, 36, 39, 41, 30, 23.623, 25.616, 21.655, 27.000
15:38:52.163, 8.013, 0.146, 0.122, 0.130, 0.024, 1210, 682, 0, 36, 39, 41, 30, 20.980, 29.323, 12.594, 9.000
15:38:53.128, 8.978, 0.122, 0.122, 0.112, 0.000, 1079, 656, 0, 36, 39, 41, 30, 20.948, 31.500, 10.448, 7.000
15:38:54.172, 10.022, 0.094, 0.084, 0.104, 0.010, 1069, 760, 0, 37, 40, 42, 30, 17.736, 25.564, 9.848, 3.000
15:38:55.152, 11.002, 0.138, 0.138, 0.112, 0.000, 1034, 703, 0, 37, 40, 42, 30, 17.419, 24.372, 10.500, 3.000
15:38:56.135, 11.985, 0.218, 0.210, 0.118, 0.008, 1186, 795, 0, 37, 40, 42, 30, 17.125, 22.250, 12.000, 2.000
15:38:57.128, 12.978, 0.134, 0.112, 0.106, 0.002, 1020, 735, 0, 37, 40, 42, 30, 16.270, 21.250, 11.278, 11.000
15:38:58.142, 13.992, 0.144, 0.144, 0.118, 0.000, 1032, 747, 0, 37, 39, 41, 30, 19.018, 27.518, 10.539, 1.000
15:38:59.128, 14.977, 0.152, 0.136, 0.112, 0.016, 1041, 857, 0, 37, 39, 41, 30, 16.158, 20.865, 11.450, 4.000
15:39:00.121, 15.971, 0.108, 0.108, 0.112, 0.000, 1005, 693, 0, 37, 39, 41, 30, 16.749, 23.573, 9.926, 2.000
15:39:01.121, 16.971, 0.138, 0.128, 0.120, 0.010, 1082, 871, 0, 37, 39, 41, 30, 17.987, 25.189, 10.804, 9.000
15:39:02.128, 17.978, 0.076, 0.074, 0.100, 0.002, 976, 758, 0, 35, 39, 40, 30, 15.558, 20.551, 10.553, 12.000
15:39:03.139, 18.989, 0.134, 0.070, 0.102, 0.006, 989, 682, 0, 35, 39, 40, 30, 16.334, 21.696, 10.973, 1.000
15:39:04.117, 19.967, 0.212, 0.210, 0.148, 0.002, 1328, 1012, 0, 35, 39, 40, 30, 21.455, 29.574, 13.317, 2.000
15:39:05.152, 21.002, 0.238, 0.238, 0.124, 0.000, 1576, 791, 0, 35, 39, 40, 30, 20.200, 28.000, 12.438, 3.000
15:39:06.100, 21.950, 0.776, 0.728, 0.208, 0.048, 1626, 1215, 0, 36, 39, 42, 30, 24.656, 32.419, 16.834, 27.000
15:39:07.088, 22.938, 0.550, 0.526, 0.166, 0.024, 1468, 978, 0, 36, 39, 42, 30, 22.222, 27.114, 17.293, 22.000
15:39:08.095, 23.944, 0.394, 0.390, 0.154, 0.004, 1697, 781, 0, 36, 39, 42, 30, 24.937, 36.111, 13.819, 16.000
15:39:09.081, 24.931, 4.160, 3.348, 0.186, 0.004, 1466, 2858, 0, 36, 39, 42, 30, 26.125, 27.889, 24.378, 1.000
15:39:10.125, 25.975, 0.158, 0.158, 0.126, 0.000, 1221, 672, 0, 39, 41, 43, 30, 20.170, 29.056, 11.220, 5.000
15:39:11.098, 26.948, 0.254, 0.242, 0.132, 0.012, 1241, 965, 0, 39, 41, 43, 30, 18.846, 26.221, 11.509, 1.000
15:39:12.077, 27.927, 0.332, 0.320, 0.128, 0.012, 1843, 864, 0, 39, 41, 43, 30, 19.625, 25.187, 14.035, 9.000
