System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
16:06:10.076, 0.000, 0.488, 0.478, 0.082, 0.010, 1046, 1525, 0, 41, 43, 46, 30, 10.678, 8.271, 13.098, 6.000
16:06:11.085, 1.010, 0.134, 0.056, 0.084, 0.000, 1107, 645, 0, 41, 43, 46, 30, 10.100, 10.025, 10.174, 9.000
16:06:12.089, 2.013, 0.084, 0.084, 0.090, 0.000, 1293, 676, 0, 41, 43, 46, 30, 13.233, 15.672, 10.777, 3.000
16:06:13.085, 3.010, 0.024, 0.024, 0.070, 0.000, 972, 652, 0, 41, 43, 46, 30, 11.250, 11.750, 10.750, 1.000
16:06:14.063, 3.988, 0.020, 0.020, 0.072, 0.000, 972, 644, 0, 39, 42, 46, 30, 8.794, 7.789, 9.799, 1.000
16:06:15.095, 5.020, 0.134, 0.040, 0.082, 0.000, 1052, 645, 0, 39, 42, 46, 30, 9.113, 8.621, 9.606, 1.000
16:06:16.172, 6.096, 6.576, 5.616, 0.426, 0.060, 1831, 2716, 0, 39, 42, 46, 30, 34.348, 33.415, 35.280, 38.000
16:06:17.138, 7.062, 0.088, 0.088, 0.108, 0.000, 1117, 655, 0, 39, 42, 46, 30, 15.959, 22.821, 9.044, 2.000
16:06:18.129, 8.054, 0.128, 0.128, 0.144, 0.000, 989, 655, 0, 42, 43, 46, 30, 23.154, 37.343, 9.000, 0.000
16:06:19.138, 9.063, 0.088, 0.082, 0.122, 0.006, 991, 659, 0, 42, 43, 46, 30, 18.035, 26.933, 9.181, 4.000
16:06:20.137, 10.062, 0.062, 0.062, 0.098, 0.000, 972, 645, 0, 42, 43, 46, 30, 16.101, 22.864, 9.320, 1.000
16:06:21.147, 11.071, 0.134, 0.086, 0.110, 0.000, 1012, 649, 0, 42, 43, 46, 30, 16.398, 24.378, 8.437, 1.000
16:06:22.125, 12.050, 0.536, 0.520, 0.156, 0.016, 1222, 1270, 0, 41, 44, 50, 30, 23.492, 34.586, 12.343, 2.000
16:06:23.134, 13.058, 0.156, 0.146, 0.132, 0.010, 979, 642, 0, 41, 44, 50, 30, 26.375, 43.750, 9.000, 2.000
16:06:24.127, 14.051, 0.250, 0.250, 0.146, 0.000, 1070, 724, 0, 41, 44, 50, 30, 28.589, 46.750, 10.474, 0.000
16:06:25.133, 15.057, 0.150, 0.150, 0.134, 0.000, 993, 650, 0, 41, 44, 50, 30, 28.464, 48.010, 8.772, 1.000
16:06:26.135, 16.059, 0.058, 0.058, 0.096, 0.000, 990, 652, 0, 42, 44, 47, 30, 20.724, 32.250, 9.227, 1.000
16:06:27.151, 17.075, 0.110, 0.108, 0.108, 0.002, 1086, 943, 0, 42, 44, 47, 30, 16.162, 23.291, 9.068, 1.000
16:06:28.136, 18.060, 0.078, 0.078, 0.106, 0.000, 994, 645, 0, 42, 44, 47, 30, 16.790, 24.631, 8.911, 1.000
16:06:29.138, 19.062, 0.074, 0.074, 0.104, 0.000, 978, 647, 0, 42, 44, 47, 30, 18.398, 27.820, 9.000, 0.000
16:06:30.131, 20.056, 0.068, 0.068, 0.100, 0.000, 986, 704, 0, 42, 43, 46, 30, 16.355, 23.750, 8.978, 1.000
16:06:31.085, 21.009, 0.312, 0.302, 0.138, 0.010, 1099, 894, 0, 42, 43, 46, 30, 18.023, 24.121, 11.970, 18.000
16:06:32.100, 22.024, 1.134, 1.094, 0.182, 0.040, 1457, 1696, 0, 42, 43, 46, 30, 13.648, 9.645, 17.692, 24.000
16:06:33.100, 23.025, 0.182, 0.166, 0.136, 0.016, 1383, 712, 0, 42, 43, 46, 30, 18.182, 25.553, 10.811, 14.000
16:06:34.098, 24.023, 0.038, 0.038, 0.086, 0.000, 984, 657, 0, 41, 43, 48, 30, 15.770, 19.799, 11.750, 14.000
16:06:35.085, 25.010, 0.098, 0.098, 0.096, 0.000, 1262, 722, 0, 41, 43, 48, 30, 17.003, 20.352, 13.636, 13.000
16:06:36.111, 26.036, 0.274, 0.264, 0.114, 0.010, 1251, 921, 0, 41, 43, 48, 30, 12.714, 11.520, 13.902, 7.000
