System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
17:30:05.562, 0.000, 0.740, 0.720, 0.106, 0.020, 1079, 1694, 0, 36, 41, 55, 30, 10.380, 8.586, 12.183, 6.000
17:30:06.606, 1.043, 0.158, 0.146, 0.114, 0.012, 1423, 767, 0, 36, 41, 55, 30, 13.702, 16.667, 10.766, 10.000
17:30:07.600, 2.037, 0.146, 0.146, 0.118, 0.000, 1597, 660, 0, 36, 41, 55, 30, 15.094, 19.598, 10.579, 3.000
17:30:08.590, 3.028, 0.134, 0.024, 0.072, 0.000, 972, 645, 0, 36, 41, 55, 30, 8.323, 7.035, 9.620, 0.000
17:30:09.590, 4.027, 0.020, 0.020, 0.070, 0.000, 978, 659, 0, 38, 40, 48, 30, 8.271, 6.784, 9.750, 1.000
17:30:10.587, 5.025, 0.032, 0.032, 0.078, 0.000, 978, 647, 0, 38, 40, 48, 30, 8.908, 8.271, 9.548, 2.000
17:30:11.586, 6.023, 3.622, 2.950, 0.318, 0.064, 1285, 2383, 0, 38, 40, 48, 30, 21.554, 20.551, 22.556, 19.000
17:30:12.646, 7.084, 4.830, 3.800, 0.286, 0.036, 1581, 2882, 0, 38, 40, 48, 30, 33.865, 31.296, 36.453, 16.000
17:30:13.669, 8.106, 0.116, 0.098, 0.136, 0.018, 1085, 676, 0, 38, 40, 46, 30, 18.023, 26.566, 9.500, 13.000
17:30:14.628, 9.065, 0.118, 0.096, 0.136, 0.022, 1095, 667, 0, 38, 40, 46, 30, 17.714, 26.131, 9.296, 14.000
17:30:15.643, 10.081, 0.134, 0.092, 0.132, 0.020, 1040, 656, 0, 38, 40, 46, 30, 17.978, 27.000, 8.978, 16.000
17:30:16.627, 11.065, 0.110, 0.090, 0.136, 0.020, 1042, 657, 0, 38, 40, 46, 30, 17.910, 26.683, 9.181, 12.000
17:30:17.647, 12.085, 0.132, 0.112, 0.140, 0.020, 1045, 665, 0, 38, 40, 48, 30, 19.095, 29.471, 8.772, 14.000
17:30:18.647, 13.085, 0.120, 0.100, 0.140, 0.020, 1064, 660, 0, 38, 40, 48, 30, 18.125, 26.683, 9.524, 13.000
17:30:19.651, 14.088, 0.116, 0.096, 0.138, 0.020, 1035, 643, 0, 38, 40, 48, 30, 18.602, 28.250, 8.978, 13.000
17:30:20.652, 15.090, 0.112, 0.092, 0.134, 0.020, 1044, 645, 0, 38, 40, 48, 30, 18.672, 28.571, 8.772, 12.000
17:30:21.647, 16.085, 0.134, 0.088, 0.132, 0.018, 1051, 669, 0, 38, 40, 47, 30, 19.448, 29.899, 9.023, 12.000
17:30:22.637, 17.075, 0.132, 0.112, 0.144, 0.020, 1107, 671, 0, 38, 40, 47, 30, 18.204, 27.363, 9.000, 13.000
17:30:23.651, 18.088, 0.116, 0.096, 0.138, 0.020, 1037, 665, 0, 38, 40, 47, 30, 18.306, 27.612, 8.978, 11.000
17:30:24.646, 19.084, 0.134, 0.094, 0.136, 0.020, 1048, 658, 0, 38, 40, 47, 30, 17.478, 26.434, 8.500, 13.000
17:30:25.639, 20.076, 0.106, 0.086, 0.132, 0.020, 1053, 647, 0, 36, 39, 46, 30, 19.576, 30.175, 8.978, 10.000
17:30:26.647, 21.084, 0.102, 0.084, 0.132, 0.018, 1028, 661, 0, 36, 39, 46, 30, 17.021, 25.500, 8.521, 12.000
17:30:27.615, 22.052, 0.198, 0.180, 0.154, 0.018, 1031, 707, 0, 36, 39, 46, 30, 25.280, 41.147, 9.453, 12.000
17:30:28.600, 23.038, 0.146, 0.146, 0.124, 0.000, 1063, 669, 0, 36, 39, 46, 30, 27.214, 40.360, 14.103, 19.000
17:30:29.592, 24.029, 0.156, 0.132, 0.134, 0.024, 1017, 642, 0, 37, 39, 43, 30, 24.351, 40.199, 8.621, 12.000
17:30:30.593, 25.031, 0.486, 0.474, 0.160, 0.012, 1513, 952, 0, 37, 39, 43, 30, 29.912, 43.750, 16.040, 14.000
17:30:31.598, 26.036, 0.260, 0.256, 0.128, 0.004, 1227, 746, 0, 37, 39, 43, 30, 30.569, 47.407, 13.648, 18.000
17:30:32.573, 27.010, 0.190, 0.190, 0.118, 0.000, 1112, 728, 0, 37, 39, 43, 30, 23.447, 35.443, 11.421, 2.000
