System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
16:23:35.089, 0.000, 0.304, 0.282, 0.096, 0.022, 1013, 1266, 0, 39, 40, 42, 30, 10.571, 8.495, 12.652, 5.000
16:23:36.063, 0.974, 0.030, 0.022, 0.078, 0.008, 972, 655, 0, 39, 40, 42, 30, 8.291, 6.888, 9.694, 2.000
16:23:37.057, 1.968, 0.174, 0.170, 0.112, 0.004, 1191, 965, 0, 39, 40, 42, 30, 13.619, 14.610, 12.626, 3.000
16:23:38.070, 2.981, 0.160, 0.160, 0.114, 0.000, 1551, 701, 0, 39, 41, 44, 30, 14.356, 18.317, 10.396, 0.000
16:23:39.050, 3.961, 0.148, 0.140, 0.126, 0.008, 1346, 665, 0, 39, 41, 44, 30, 18.227, 24.938, 11.500, 3.000
16:23:40.073, 4.984, 0.134, 0.092, 0.102, 0.000, 1253, 649, 0, 39, 41, 44, 30, 12.159, 14.428, 9.901, 20.000
16:23:41.244, 6.156, 3.892, 3.136, 0.300, 0.036, 1678, 2587, 0, 39, 41, 44, 30, 44.298, 40.789, 47.807, 33.000
16:23:42.130, 7.042, 0.080, 0.078, 0.102, 0.002, 1092, 640, 0, 39, 41, 44, 30, 16.812, 22.384, 11.272, 16.000
16:23:43.102, 8.014, 0.134, 0.060, 0.092, 0.000, 975, 645, 0, 39, 41, 44, 30, 15.855, 22.693, 9.000, 1.000
16:23:44.117, 9.028, 0.078, 0.078, 0.102, 0.000, 978, 638, 0, 39, 41, 44, 30, 16.247, 23.869, 8.586, 1.000
16:23:45.160, 10.071, 0.070, 0.070, 0.098, 0.000, 972, 645, 0, 39, 41, 44, 30, 16.522, 23.192, 9.901, 3.000
16:23:46.104, 11.015, 0.060, 0.060, 0.096, 0.000, 972, 658, 0, 39, 41, 43, 30, 15.567, 22.388, 8.728, 0.000
16:23:47.107, 12.018, 0.108, 0.104, 0.110, 0.004, 1012, 933, 0, 39, 41, 43, 30, 16.624, 23.214, 10.000, 11.000
16:23:48.135, 13.046, 0.072, 0.072, 0.102, 0.000, 981, 645, 0, 39, 41, 43, 30, 16.054, 23.039, 9.069, 2.000
16:23:49.140, 14.052, 0.088, 0.088, 0.106, 0.000, 978, 650, 0, 39, 41, 43, 30, 18.408, 28.358, 8.458, 1.000
16:23:50.130, 15.041, 0.062, 0.062, 0.092, 0.000, 972, 639, 0, 39, 41, 42, 41, 15.637, 22.475, 8.816, 1.000
16:23:51.135, 16.047, 0.094, 0.094, 0.112, 0.000, 1036, 825, 0, 39, 41, 42, 41, 16.416, 23.308, 9.524, 1.000
16:23:52.141, 17.052, 0.134, 0.102, 0.106, 0.002, 984, 1121, 0, 39, 41, 42, 41, 15.816, 22.581, 9.000, 2.000
16:23:53.115, 18.026, 0.068, 0.068, 0.102, 0.000, 972, 652, 0, 39, 41, 42, 41, 15.414, 21.914, 8.978, 0.000
16:23:54.116, 19.028, 0.070, 0.070, 0.104, 0.000, 972, 655, 0, 38, 41, 42, 30, 16.334, 23.632, 9.000, 1.000
16:23:55.123, 20.034, 0.134, 0.066, 0.100, 0.000, 978, 641, 0, 38, 41, 42, 30, 15.605, 22.000, 9.227, 4.000
16:23:56.080, 20.991, 0.384, 0.364, 0.124, 0.020, 1086, 1265, 0, 38, 41, 42, 30, 14.250, 15.960, 12.531, 17.000
16:23:57.107, 22.018, 0.078, 0.066, 0.124, 0.012, 1016, 653, 0, 38, 41, 42, 30, 14.570, 17.500, 11.663, 18.000
16:23:58.100, 23.011, 0.024, 0.024, 0.074, 0.000, 972, 650, 0, 39, 41, 42, 30, 10.189, 11.529, 8.838, 0.000
16:23:59.068, 23.980, 0.262, 0.230, 0.156, 0.032, 1523, 792, 0, 39, 41, 42, 30, 16.101, 22.166, 10.050, 11.000
16:24:00.059, 24.971, 0.670, 0.630, 0.188, 0.034, 1646, 1189, 0, 39, 41, 42, 30, 22.195, 25.187, 19.202, 19.000
16:24:01.067, 25.979, 0.134, 0.132, 0.100, 0.002, 1418, 740, 0, 39, 41, 42, 30, 14.268, 16.291, 12.250, 11.000
16:24:02.038, 26.949, 0.268, 0.254, 0.092, 0.014, 1031, 874, 0, 38, 41, 43, 30, 10.566, 8.586, 12.531, 4.000
