System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
16:22:29.168, 0.000, 0.110, 0.110, 0.096, 0.000, 1255, 692, 0, 40, 42, 44, 30, 13.689, 17.169, 10.209, 12.000
16:22:30.079, 0.912, 0.134, 0.078, 0.098, 0.014, 1203, 776, 0, 39, 41, 43, 30, 12.991, 14.595, 11.382, 9.000
16:22:31.070, 1.903, 0.032, 0.032, 0.076, 0.000, 1002, 652, 0, 39, 41, 43, 30, 8.238, 6.345, 10.127, 3.000
16:22:32.058, 2.891, 0.196, 0.196, 0.124, 0.000, 1845, 675, 0, 39, 41, 43, 30, 13.165, 16.203, 10.127, 1.000
16:22:33.056, 3.889, 0.026, 0.026, 0.078, 0.000, 972, 766, 0, 39, 41, 43, 30, 9.375, 8.772, 9.975, 1.000
16:22:34.081, 4.913, 0.030, 0.030, 0.080, 0.000, 976, 638, 0, 38, 40, 42, 30, 12.758, 16.223, 9.268, 0.000
16:22:35.251, 6.083, 3.622, 3.108, 0.302, 0.034, 1692, 2476, 0, 38, 40, 42, 30, 43.531, 40.132, 46.930, 33.000
16:22:36.116, 6.948, 0.134, 0.062, 0.096, 0.000, 1062, 644, 0, 38, 40, 42, 30, 18.182, 21.493, 14.881, 32.000
16:22:37.115, 7.948, 0.552, 0.508, 0.210, 0.044, 1737, 947, 0, 38, 40, 42, 30, 21.578, 28.010, 15.099, 11.000
16:22:38.114, 8.947, 0.134, 0.094, 0.110, 0.008, 1098, 640, 0, 39, 41, 43, 30, 17.544, 25.815, 9.273, 9.000
16:22:39.121, 9.954, 0.082, 0.082, 0.102, 0.000, 972, 648, 0, 39, 41, 43, 30, 17.888, 26.799, 8.955, 2.000
16:22:40.113, 10.945, 0.066, 0.066, 0.096, 0.000, 972, 644, 0, 39, 41, 43, 30, 16.332, 23.869, 8.794, 1.000
16:22:41.119, 11.951, 0.238, 0.228, 0.128, 0.010, 1209, 909, 0, 39, 41, 43, 30, 17.021, 22.362, 11.721, 4.000
16:22:42.124, 12.956, 0.134, 0.056, 0.098, 0.000, 978, 643, 0, 39, 41, 42, 30, 15.212, 21.446, 8.978, 2.000
16:22:43.115, 13.947, 0.134, 0.094, 0.108, 0.006, 992, 913, 0, 39, 41, 42, 30, 16.250, 23.441, 9.023, 12.000
16:22:44.151, 14.984, 0.134, 0.066, 0.098, 0.000, 972, 643, 0, 39, 41, 42, 30, 15.461, 22.000, 8.955, 0.000
16:22:45.110, 15.942, 0.072, 0.072, 0.102, 0.000, 972, 652, 0, 39, 41, 42, 30, 16.625, 24.060, 9.227, 1.000
16:22:46.104, 16.936, 0.064, 0.064, 0.102, 0.000, 972, 650, 0, 38, 40, 42, 30, 15.949, 23.174, 8.651, 8.000
16:22:47.128, 17.961, 0.072, 0.072, 0.100, 0.000, 989, 647, 0, 38, 40, 42, 30, 15.526, 22.304, 8.780, 1.000
16:22:48.118, 18.951, 0.108, 0.100, 0.104, 0.008, 989, 1062, 0, 38, 40, 42, 30, 16.247, 23.174, 9.320, 1.000
16:22:49.102, 19.935, 0.076, 0.076, 0.104, 0.000, 972, 640, 0, 38, 40, 42, 30, 17.168, 25.500, 8.794, 2.000
16:22:50.083, 20.916, 0.060, 0.060, 0.092, 0.000, 972, 661, 0, 38, 40, 42, 30, 16.065, 23.441, 8.706, 0.000
16:22:51.125, 21.958, 0.652, 0.612, 0.172, 0.040, 1374, 1503, 0, 38, 40, 42, 30, 14.860, 14.634, 15.085, 20.000
16:22:52.071, 22.903, 0.076, 0.076, 0.090, 0.000, 1135, 661, 0, 38, 40, 42, 30, 13.151, 16.667, 9.635, 12.000
16:22:53.079, 23.912, 0.212, 0.190, 0.154, 0.022, 1435, 748, 0, 38, 40, 42, 30, 20.818, 26.799, 14.851, 15.000
16:22:54.071, 24.903, 0.468, 0.440, 0.146, 0.028, 1608, 880, 0, 40, 41, 44, 30, 20.275, 24.623, 15.960, 23.000
16:22:55.062, 25.895, 0.322, 0.316, 0.122, 0.006, 1519, 995, 0, 40, 41, 44, 30, 15.716, 14.141, 17.303, 2.000
16:22:56.049, 26.882, 0.050, 0.050, 0.082, 0.000, 994, 760, 0, 40, 41, 44, 30, 9.814, 8.933, 10.697, 3.000
