System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
22:35:29.648, 0.000, 0.106, 0.100, 0.052, 0.006, 1054, 1009, 0, 34, 39, 51, 30, 12.045, 11.529, 12.563, 12.000
22:35:30.712, 1.064, 1.060, 1.048, 0.116, 0.012, 1384, 1588, 0, 33, 38, 47, 30, 19.026, 18.056, 20.000, 27.000
22:35:31.682, 2.034, 0.040, 0.030, 0.032, 0.010, 978, 652, 0, 33, 38, 47, 30, 9.733, 9.115, 10.345, 1.000
22:35:32.675, 3.027, 0.412, 0.406, 0.082, 0.006, 1510, 1421, 0, 33, 38, 47, 30, 15.163, 17.955, 12.343, 2.000
22:35:33.652, 4.004, 0.328, 0.324, 0.078, 0.004, 1480, 1238, 0, 33, 38, 47, 30, 17.535, 22.704, 12.405, 2.000
22:35:34.637, 4.989, 2.146, 1.858, 0.204, 0.060, 1414, 2098, 0, 34, 39, 51, 30, 22.670, 24.937, 20.403, 41.000
22:35:35.686, 6.039, 5.636, 5.274, 0.330, 0.060, 1532, 2618, 0, 34, 39, 51, 30, 28.759, 21.190, 36.364, 17.000
22:35:36.767, 7.120, 2.998, 2.902, 0.324, 0.096, 1627, 2123, 0, 34, 39, 51, 30, 55.556, 50.718, 60.382, 36.000
22:35:37.708, 8.060, 5.368, 4.576, 0.334, 0.058, 1630, 2479, 0, 34, 39, 51, 30, 37.302, 35.092, 39.523, 38.000
22:35:38.712, 9.064, 0.934, 0.870, 0.148, 0.064, 1145, 1468, 0, 36, 39, 47, 30, 19.084, 23.664, 14.504, 28.000
22:35:39.688, 10.041, 0.090, 0.078, 0.068, 0.012, 1005, 642, 0, 36, 39, 47, 30, 17.348, 25.185, 9.453, 1.000
22:35:40.742, 11.094, 0.574, 0.566, 0.156, 0.008, 1917, 1095, 0, 36, 39, 47, 30, 29.939, 46.472, 13.527, 12.000
22:35:41.726, 12.078, 0.136, 0.136, 0.072, 0.000, 1097, 707, 0, 36, 39, 47, 30, 22.901, 35.459, 10.406, 2.000
22:35:42.745, 13.098, 0.370, 0.344, 0.142, 0.026, 1231, 1160, 0, 33, 38, 48, 30, 26.576, 35.714, 17.370, 36.000
22:35:43.692, 14.044, 0.194, 0.192, 0.088, 0.002, 1273, 737, 0, 33, 38, 48, 30, 22.151, 33.419, 10.969, 8.000
22:35:44.748, 15.101, 0.112, 0.104, 0.074, 0.008, 1103, 710, 0, 33, 38, 48, 30, 19.351, 29.353, 9.273, 13.000
22:35:45.712, 16.065, 0.172, 0.156, 0.082, 0.016, 1279, 706, 0, 33, 38, 48, 30, 21.125, 33.333, 8.978, 2.000
22:35:46.722, 17.074, 0.134, 0.110, 0.074, 0.010, 1122, 881, 0, 34, 38, 47, 30, 18.922, 28.894, 9.000, 3.000
22:35:47.744, 18.096, 0.122, 0.116, 0.070, 0.006, 1144, 804, 0, 34, 38, 47, 30, 18.561, 27.778, 9.343, 2.000
22:35:48.707, 19.060, 0.104, 0.094, 0.070, 0.010, 1110, 761, 0, 34, 38, 47, 30, 17.450, 26.173, 8.685, 2.000
22:35:49.699, 20.051, 0.134, 0.122, 0.080, 0.008, 1167, 741, 0, 34, 38, 47, 30, 18.043, 27.411, 8.651, 2.000
22:35:50.710, 21.062, 0.086, 0.080, 0.062, 0.006, 1063, 724, 0, 34, 37, 46, 30, 17.407, 26.173, 8.642, 8.000
22:35:51.743, 22.096, 0.094, 0.088, 0.074, 0.006, 1048, 897, 0, 34, 37, 46, 30, 18.443, 28.469, 8.393, 3.000
22:35:52.682, 23.035, 0.232, 0.206, 0.070, 0.026, 1147, 1056, 0, 34, 37, 46, 30, 14.602, 17.539, 11.688, 8.000
22:35:53.705, 24.057, 0.752, 0.640, 0.208, 0.112, 1266, 1557, 0, 34, 37, 46, 30, 16.438, 13.184, 19.701, 40.000
22:35:54.758, 25.111, 0.186, 0.182, 0.064, 0.004, 1276, 797, 0, 33, 39, 50, 30, 15.131, 18.864, 11.390, 21.000
22:35:55.665, 26.018, 0.588, 0.534, 0.160, 0.054, 1676, 1259, 0, 33, 39, 50, 30, 22.036, 22.905, 21.170, 30.000
22:35:56.654, 27.006, 0.494, 0.444, 0.134, 0.050, 1552, 1148, 0, 33, 39, 50, 30, 19.773, 21.859, 17.677, 15.000
22:35:57.743, 28.096, 6.576, 5.804, 0.294, 0.026, 1676, 3095, 0, 33, 39, 50, 30, 41.928, 26.517, 57.271, 21.000
22:35:58.681, 29.033, 0.134, 0.096, 0.048, 0.000, 1166, 789, 0, 35, 39, 50, 30, 14.067, 14.206, 13.928, 4.000
22:35:59.642, 29.995, 0.064, 0.062, 0.042, 0.002, 1057, 757, 0, 35, 39, 50, 30, 12.610, 14.646, 10.579, 5.000
