System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
22:38:32.644, 0.000, 0.578, 0.542, 0.088, 0.036, 1050, 1738, 0, 37, 41, 48, 30, 13.659, 13.534, 13.784, 9.000
22:38:33.666, 1.023, 0.034, 0.034, 0.032, 0.000, 979, 727, 0, 37, 41, 48, 30, 11.692, 12.407, 10.973, 6.000
22:38:34.668, 2.024, 0.024, 0.024, 0.022, 0.000, 978, 649, 0, 34, 39, 47, 30, 9.750, 8.500, 11.000, 1.000
22:38:35.647, 3.004, 0.264, 0.264, 0.088, 0.000, 1575, 759, 0, 34, 39, 47, 30, 18.946, 26.817, 11.055, 0.000
22:38:36.664, 4.020, 0.134, 0.090, 0.052, 0.000, 1192, 661, 0, 34, 39, 47, 30, 13.208, 16.121, 10.302, 2.000
22:38:37.700, 5.056, 1.202, 1.192, 0.160, 0.010, 1632, 1927, 0, 34, 39, 47, 30, 23.626, 23.131, 24.122, 39.000
22:38:38.755, 6.111, 10.066, 8.974, 0.352, 0.000, 1812, 3025, 0, 35, 44, 53, 30, 40.071, 21.957, 58.057, 15.000
22:38:39.652, 7.008, 7.650, 6.076, 0.306, 0.048, 1710, 3086, 0, 35, 44, 53, 30, 41.185, 21.348, 61.190, 12.000
22:38:40.690, 8.046, 1.024, 0.980, 0.162, 0.044, 1376, 1488, 0, 35, 44, 53, 30, 30.515, 21.867, 39.120, 30.000
22:38:41.728, 9.084, 1.058, 0.916, 0.270, 0.142, 1727, 1434, 0, 35, 44, 53, 36, 29.486, 31.078, 27.889, 37.000
22:38:42.760, 10.116, 9.394, 8.766, 0.382, 0.000, 1918, 3050, 0, 37, 48, 58, 36, 48.097, 38.479, 57.737, 14.000
22:38:43.698, 11.054, 8.454, 6.812, 0.346, 0.054, 1872, 3072, 0, 37, 48, 58, 36, 36.618, 19.786, 53.316, 22.000
22:38:44.672, 12.029, 1.342, 1.204, 0.158, 0.032, 1337, 1485, 0, 37, 48, 58, 36, 28.329, 31.250, 25.393, 10.000
22:38:45.700, 13.056, 0.592, 0.582, 0.124, 0.010, 1106, 1224, 0, 37, 48, 58, 30, 24.063, 26.877, 21.256, 30.000
22:38:46.708, 14.064, 0.154, 0.148, 0.076, 0.006, 1173, 743, 0, 36, 41, 57, 30, 18.846, 26.667, 11.026, 7.000
22:38:47.680, 15.036, 0.202, 0.196, 0.090, 0.006, 1233, 847, 0, 36, 41, 57, 30, 19.650, 29.426, 9.799, 2.000
22:38:48.673, 16.029, 0.214, 0.206, 0.082, 0.008, 1110, 864, 0, 36, 41, 57, 30, 18.555, 25.313, 11.881, 2.000
22:38:49.711, 17.067, 0.106, 0.102, 0.072, 0.004, 1099, 713, 0, 36, 41, 57, 30, 18.616, 27.638, 9.572, 4.000
22:38:50.679, 18.035, 0.138, 0.130, 0.084, 0.008, 1167, 826, 0, 37, 40, 49, 30, 18.035, 26.799, 9.227, 4.000
22:38:51.694, 19.050, 0.134, 0.092, 0.072, 0.002, 1062, 730, 0, 37, 40, 49, 30, 17.315, 25.313, 9.296, 2.000
22:38:52.692, 20.048, 0.134, 0.106, 0.064, 0.004, 1160, 745, 0, 37, 40, 49, 30, 15.980, 22.807, 9.204, 3.000
22:38:53.684, 21.040, 0.162, 0.154, 0.078, 0.008, 1086, 766, 0, 37, 40, 49, 30, 18.727, 27.861, 9.524, 2.000
22:38:54.685, 22.041, 0.094, 0.092, 0.066, 0.002, 1079, 727, 0, 37, 40, 49, 30, 16.562, 23.116, 10.025, 4.000
22:38:55.657, 23.014, 0.564, 0.492, 0.162, 0.072, 1276, 1384, 0, 37, 40, 49, 30, 17.104, 19.250, 14.963, 43.000
22:38:56.667, 24.024, 0.084, 0.078, 0.054, 0.006, 1059, 808, 0, 37, 40, 49, 30, 12.875, 11.750, 14.000, 34.000
22:38:57.677, 25.033, 0.040, 0.036, 0.034, 0.004, 1033, 717, 0, 37, 40, 49, 30, 12.859, 11.970, 13.750, 30.000
22:38:58.692, 26.048, 0.336, 0.328, 0.082, 0.008, 1567, 1318, 0, 36, 39, 46, 30, 17.455, 20.874, 14.044, 5.000
22:38:59.652, 27.008, 0.556, 0.490, 0.146, 0.066, 1503, 1362, 0, 36, 39, 46, 30, 20.463, 24.227, 16.710, 20.000
22:39:00.691, 28.048, 7.918, 6.702, 0.308, 0.014, 1727, 3073, 0, 36, 39, 46, 30, 43.632, 24.528, 62.736, 17.000
22:39:01.637, 28.993, 0.560, 0.550, 0.082, 0.010, 1285, 1523, 0, 36, 39, 46, 30, 16.800, 15.160, 18.449, 10.000
