System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
15:40:36.134, 0.000, 0.022, 0.022, 0.074, 0.000, 972, 647, 0, 39, 40, 43, 30, 7.942, 6.731, 9.157, 10.000
15:40:37.102, 0.968, 0.134, 0.080, 0.090, 0.000, 1183, 824, 0, 39, 40, 43, 30, 10.390, 10.130, 10.649, 1.000
15:40:38.093, 1.958, 0.196, 0.182, 0.118, 0.014, 1399, 842, 0, 38, 40, 45, 30, 15.220, 19.395, 11.055, 2.000
15:40:39.085, 2.950, 0.060, 0.060, 0.090, 0.000, 1119, 647, 0, 38, 40, 45, 30, 13.823, 16.625, 11.000, 2.000
15:40:40.102, 3.968, 0.028, 0.028, 0.074, 0.000, 972, 650, 0, 38, 40, 45, 30, 9.340, 8.955, 9.726, 3.000
15:40:41.102, 4.968, 0.030, 0.030, 0.074, 0.000, 991, 654, 0, 38, 40, 45, 30, 9.262, 8.521, 10.000, 1.000
15:40:42.127, 5.992, 0.926, 0.894, 0.186, 0.032, 1557, 1347, 0, 39, 40, 44, 30, 23.723, 22.683, 24.757, 29.000
15:40:43.118, 6.984, 0.398, 0.380, 0.154, 0.018, 1198, 849, 0, 39, 40, 44, 30, 24.543, 28.125, 20.942, 20.000
15:40:44.129, 7.995, 0.234, 0.212, 0.148, 0.022, 1189, 700, 0, 39, 40, 44, 30, 25.364, 40.389, 10.412, 7.000
15:40:45.110, 8.976, 0.078, 0.078, 0.104, 0.000, 972, 659, 0, 39, 40, 44, 30, 16.371, 23.096, 9.645, 10.000
15:40:46.112, 9.978, 0.076, 0.070, 0.100, 0.006, 998, 699, 0, 37, 40, 42, 30, 15.019, 19.799, 10.250, 1.000
15:40:47.098, 10.964, 0.110, 0.090, 0.108, 0.020, 1010, 803, 0, 37, 40, 42, 30, 15.940, 20.149, 11.721, 2.000
15:40:48.099, 11.965, 0.282, 0.280, 0.122, 0.002, 1190, 910, 0, 37, 40, 42, 30, 18.695, 25.879, 11.529, 6.000
15:40:49.127, 12.992, 0.068, 0.068, 0.096, 0.000, 1015, 670, 0, 37, 40, 42, 30, 15.038, 20.000, 10.050, 3.000
15:40:50.120, 13.986, 0.072, 0.072, 0.100, 0.000, 981, 698, 0, 38, 39, 41, 30, 16.543, 22.525, 10.591, 4.000
15:40:51.119, 14.984, 0.072, 0.072, 0.100, 0.000, 995, 674, 0, 38, 39, 41, 30, 15.288, 20.802, 9.774, 3.000
15:40:52.110, 15.975, 0.184, 0.174, 0.124, 0.010, 1238, 777, 0, 38, 39, 41, 30, 18.308, 25.945, 10.633, 3.000
15:40:53.142, 17.008, 0.114, 0.106, 0.112, 0.008, 1045, 704, 0, 38, 39, 41, 30, 16.875, 22.807, 10.973, 3.000
15:40:54.129, 17.994, 0.104, 0.104, 0.104, 0.000, 1005, 692, 0, 37, 40, 41, 30, 15.881, 21.836, 9.926, 5.000
15:40:55.156, 19.022, 0.136, 0.128, 0.114, 0.008, 1020, 814, 0, 37, 40, 41, 30, 16.646, 21.805, 11.500, 6.000
15:40:56.136, 20.002, 0.134, 0.112, 0.102, 0.004, 1014, 711, 0, 37, 40, 41, 30, 15.375, 20.698, 10.025, 2.000
15:40:57.122, 20.987, 0.124, 0.116, 0.104, 0.008, 1022, 903, 0, 37, 40, 41, 30, 16.085, 21.197, 10.973, 2.000
15:40:58.095, 21.960, 0.254, 0.248, 0.136, 0.006, 1065, 774, 0, 38, 40, 42, 30, 19.798, 27.204, 12.374, 7.000
15:40:59.117, 22.982, 0.134, 0.046, 0.104, 0.016, 1045, 659, 0, 38, 40, 42, 30, 12.204, 14.179, 10.224, 29.000
15:41:00.115, 23.980, 0.044, 0.036, 0.084, 0.008, 1162, 660, 0, 38, 40, 42, 30, 10.861, 12.000, 9.726, 3.000
15:41:01.100, 24.965, 0.170, 0.170, 0.114, 0.000, 1540, 711, 0, 38, 40, 42, 30, 14.161, 18.362, 9.950, 5.000
15:41:02.093, 25.959, 0.236, 0.230, 0.110, 0.006, 1570, 863, 0, 38, 40, 43, 30, 15.087, 18.797, 11.414, 3.000
15:41:03.081, 26.946, 0.460, 0.456, 0.104, 0.004, 1658, 959, 0, 38, 40, 43, 30, 20.555, 23.426, 17.677, 21.000
