System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
17:31:32.669, 0.000, 0.134, 0.100, 0.096, 0.010, 1389, 669, 0, 37, 40, 49, 30, 10.857, 11.927, 9.795, 11.000
17:31:33.587, 0.919, 0.436, 0.400, 0.164, 0.036, 1798, 981, 0, 37, 40, 48, 30, 18.468, 20.163, 16.758, 13.000
17:31:34.593, 1.925, 0.032, 0.032, 0.078, 0.000, 982, 648, 0, 37, 40, 48, 30, 13.125, 12.531, 13.716, 16.000
17:31:35.580, 2.911, 0.044, 0.044, 0.080, 0.000, 1044, 654, 0, 37, 40, 48, 30, 9.091, 8.333, 9.848, 1.000
17:31:36.583, 3.914, 0.048, 0.042, 0.082, 0.006, 989, 747, 0, 37, 40, 48, 30, 11.014, 12.000, 10.025, 3.000
17:31:37.626, 4.957, 4.696, 4.100, 0.364, 0.082, 1436, 2856, 0, 36, 38, 40, 30, 22.314, 19.385, 25.236, 17.000
17:31:38.637, 5.968, 3.892, 3.182, 0.250, 0.014, 1481, 2709, 0, 36, 38, 40, 30, 31.695, 28.497, 34.884, 14.000
17:31:39.653, 6.984, 0.070, 0.070, 0.102, 0.000, 979, 652, 0, 36, 38, 40, 30, 15.803, 22.475, 9.114, 9.000
17:31:40.632, 7.963, 0.076, 0.076, 0.106, 0.000, 994, 654, 0, 36, 38, 40, 30, 15.875, 22.807, 8.978, 3.000
17:31:41.662, 8.994, 0.134, 0.088, 0.106, 0.008, 1035, 886, 0, 38, 41, 50, 30, 17.143, 25.310, 8.955, 1.000
17:31:42.642, 9.974, 0.134, 0.118, 0.112, 0.000, 1112, 685, 0, 38, 41, 50, 30, 17.522, 25.313, 9.750, 2.000
17:31:43.629, 10.960, 0.066, 0.066, 0.100, 0.000, 979, 656, 0, 38, 41, 50, 30, 15.664, 22.750, 8.543, 0.000
17:31:44.665, 11.996, 0.122, 0.114, 0.110, 0.008, 1068, 792, 0, 38, 41, 50, 30, 16.160, 23.358, 8.981, 11.000
17:31:45.643, 12.975, 0.092, 0.080, 0.106, 0.012, 1001, 818, 0, 37, 41, 49, 30, 15.116, 21.447, 8.786, 1.000
17:31:46.646, 13.977, 0.100, 0.092, 0.106, 0.008, 1005, 968, 0, 37, 41, 49, 30, 15.691, 22.139, 9.227, 1.000
17:31:47.673, 15.004, 0.082, 0.082, 0.110, 0.000, 1005, 663, 0, 37, 41, 49, 30, 16.917, 24.812, 9.023, 3.000
17:31:48.635, 15.967, 0.066, 0.066, 0.096, 0.000, 972, 650, 0, 37, 41, 49, 30, 15.481, 22.055, 8.955, 1.000
17:31:49.647, 16.979, 0.106, 0.106, 0.116, 0.000, 1064, 831, 0, 37, 41, 49, 30, 16.791, 24.318, 9.227, 5.000
17:31:50.659, 17.990, 0.080, 0.080, 0.104, 0.000, 987, 659, 0, 37, 41, 49, 30, 16.604, 24.372, 8.816, 2.000
17:31:51.608, 18.939, 0.108, 0.094, 0.108, 0.014, 1012, 819, 0, 37, 41, 49, 30, 18.023, 27.068, 9.000, 1.000
17:31:52.680, 20.011, 0.076, 0.076, 0.100, 0.000, 1048, 654, 0, 37, 41, 49, 30, 14.912, 20.802, 9.023, 15.000
17:31:53.639, 20.970, 0.074, 0.074, 0.106, 0.000, 985, 641, 0, 37, 40, 48, 30, 16.125, 23.559, 8.728, 1.000
17:31:54.613, 21.945, 0.940, 0.834, 0.214, 0.106, 1345, 1387, 0, 37, 40, 48, 30, 17.348, 19.554, 15.136, 16.000
17:31:55.621, 22.953, 0.144, 0.144, 0.100, 0.000, 1206, 640, 0, 37, 40, 48, 30, 13.300, 17.839, 8.772, 0.000
17:31:56.610, 23.941, 0.140, 0.122, 0.108, 0.018, 1442, 695, 0, 37, 40, 48, 30, 12.732, 15.517, 9.926, 2.000
17:31:57.587, 24.919, 0.236, 0.236, 0.118, 0.000, 1809, 751, 0, 36, 41, 52, 30, 19.241, 26.396, 12.121, 16.000
17:31:58.601, 25.933, 0.134, 0.108, 0.094, 0.000, 1256, 700, 0, 36, 41, 52, 30, 12.763, 12.871, 12.655, 7.000
