System Time, Elapsed Time (sec), Package Power (Watt), CPU Power (Watt), DRAM Power (Watt), GPU Power (Watt), E-Core Frequency (Mhz), P-Core Frequency (Mhz), GPU Frequency (Mhz), CPU MIN Temperature (C), CPU AVG Temperature (C), CPU MAX Temperature (C), GPU AVG Temperature (C), CPU Utilization (%), E-Core Utilization (%), P-Core Utilization (%), GPU Utilization (%)
18:07:50.562, 0.000, 0.544, 0.520, 0.106, 0.024, 1266, 1197, 0, 38, 41, 44, 30, 12.364, 11.922, 12.802, 8.000
18:07:51.538, 0.975, 0.200, 0.200, 0.118, 0.000, 1739, 758, 0, 38, 41, 44, 30, 15.306, 19.084, 11.509, 10.000
18:07:52.561, 1.998, 0.696, 0.642, 0.184, 0.054, 1265, 1234, 0, 38, 41, 44, 30, 19.799, 23.308, 16.291, 23.000
18:07:53.563, 3.000, 0.038, 0.030, 0.082, 0.008, 979, 649, 0, 39, 40, 42, 30, 9.701, 10.448, 8.955, 2.000
18:07:54.581, 4.019, 0.054, 0.044, 0.082, 0.010, 998, 786, 0, 39, 40, 42, 30, 10.012, 11.463, 8.557, 13.000
18:07:55.564, 5.002, 0.084, 0.068, 0.094, 0.016, 1048, 808, 0, 39, 40, 42, 30, 9.383, 9.021, 9.744, 3.000
18:07:56.668, 6.106, 1.548, 1.526, 0.158, 0.022, 1174, 1770, 0, 39, 40, 42, 30, 25.341, 27.045, 23.636, 19.000
18:07:57.563, 7.000, 0.414, 0.412, 0.158, 0.002, 1235, 1047, 0, 40, 42, 43, 30, 24.347, 33.333, 15.385, 2.000
18:07:58.577, 8.015, 0.074, 0.074, 0.102, 0.000, 1011, 656, 0, 40, 42, 43, 30, 17.293, 23.000, 11.558, 3.000
18:07:59.571, 9.008, 0.134, 0.076, 0.100, 0.000, 1016, 643, 0, 40, 42, 43, 30, 15.875, 23.192, 8.521, 9.000
18:08:00.593, 10.030, 0.362, 0.336, 0.152, 0.026, 1362, 1416, 0, 40, 42, 43, 30, 17.699, 24.112, 11.335, 5.000
18:08:01.564, 11.002, 0.430, 0.424, 0.158, 0.006, 1545, 1016, 0, 40, 41, 43, 30, 22.306, 31.250, 13.317, 4.000
18:08:02.594, 12.031, 0.352, 0.318, 0.154, 0.034, 1307, 796, 0, 40, 41, 43, 30, 23.493, 34.321, 12.745, 14.000
18:08:03.601, 13.039, 0.104, 0.104, 0.122, 0.000, 1082, 650, 0, 40, 41, 43, 30, 19.221, 29.750, 8.586, 2.000
18:08:04.608, 14.045, 0.080, 0.080, 0.112, 0.000, 988, 643, 0, 40, 41, 43, 30, 17.125, 25.126, 9.204, 1.000
18:08:05.603, 15.041, 0.134, 0.076, 0.108, 0.000, 990, 640, 0, 38, 41, 43, 30, 16.438, 23.325, 9.500, 12.000
18:08:06.587, 16.025, 0.216, 0.216, 0.146, 0.000, 1052, 805, 0, 38, 41, 43, 30, 19.549, 29.146, 10.000, 1.000
18:08:07.583, 17.020, 0.120, 0.108, 0.120, 0.012, 1031, 803, 0, 38, 41, 43, 30, 17.603, 25.250, 9.975, 12.000
18:08:08.591, 18.029, 0.072, 0.072, 0.104, 0.000, 986, 650, 0, 38, 41, 43, 30, 17.189, 25.750, 8.564, 3.000
18:08:09.595, 19.032, 0.066, 0.066, 0.102, 0.000, 982, 654, 0, 37, 40, 42, 30, 15.770, 22.750, 8.772, 0.000
18:08:10.573, 20.011, 0.134, 0.128, 0.128, 0.000, 1167, 644, 0, 37, 40, 42, 30, 18.587, 28.109, 9.136, 1.000
18:08:11.569, 21.006, 0.214, 0.214, 0.130, 0.000, 1041, 795, 0, 37, 40, 42, 30, 21.303, 31.579, 11.028, 1.000
18:08:12.560, 21.998, 0.068, 0.066, 0.096, 0.002, 1030, 827, 0, 37, 40, 42, 30, 17.320, 22.166, 12.437, 16.000
18:08:13.537, 22.975, 0.804, 0.660, 0.232, 0.110, 1522, 1160, 0, 39, 41, 43, 30, 19.403, 23.881, 14.925, 34.000
18:08:14.533, 23.971, 0.294, 0.238, 0.154, 0.056, 1429, 778, 0, 39, 41, 43, 30, 20.698, 23.559, 17.866, 29.000
18:08:15.529, 24.967, 0.280, 0.264, 0.126, 0.016, 1311, 886, 0, 39, 41, 43, 30, 16.329, 14.899, 17.766, 5.000
18:08:16.526, 25.964, 0.134, 0.112, 0.096, 0.000, 1010, 745, 0, 39, 41, 43, 30, 11.625, 10.973, 12.281, 0.000
